alias,risk_compound,match_type,notes
salt,sodium,word,"generic; also matches 'salted'. 'unsalted'/'salt-free' handled by negation list in tagger"
iodised salt,sodium,substring,
iodized salt,sodium,substring,
sea salt,sodium,substring,
rock salt,sodium,substring,
sendha namak,sodium,substring,
black salt,sodium,substring,
kala namak,sodium,substring,
namak,sodium,word,hindi for salt
sodium chloride,sodium,substring,
monosodium glutamate,sodium,substring,
msg,sodium,word,
e621,sodium,substring,MSG
disodium inosinate,sodium,substring,
disodium guanylate,sodium,substring,
disodium 5'-ribonucleotide,sodium,substring,
e627,sodium,substring,
e631,sodium,substring,
sodium bicarbonate,sodium,substring,
sodium carbonate,sodium,substring,
baking soda,sodium,substring,
sodium benzoate,sodium,substring,preservative but sodium-bearing
sodium nitrite,sodium,substring,
sodium nitrate,sodium,substring,
sodium citrate,sodium,substring,
raising agent 500,sodium,substring,
raising agent 503,sodium,substring,
e500,sodium,substring,
e503,sodium,substring,
papad,sodium,substring,
papadum,sodium,substring,
pappad,sodium,substring,
pickle,sodium,substring,
achar,sodium,substring,
namkeen,sodium,substring,
soy sauce,sodium,substring,also tyramine/soy
soya sauce,sodium,substring,
fish sauce,sodium,substring,also tyramine
bouillon,sodium,substring,
stock cube,sodium,substring,
ketchup,sodium,substring,
brine,sodium,substring,
potassium chloride,potassium,substring,
e508,potassium,substring,
potassium citrate,potassium,substring,
potassium sorbate,potassium,substring,"preservative; usually trace potassium - low confidence"
low sodium salt,potassium,substring,salt substitute
salt substitute,potassium,substring,
lite salt,potassium,substring,
banana,potassium,substring,
plantain,potassium,substring,
coconut water,potassium,substring,
tender coconut,potassium,substring,
potato,potassium,substring,also rapid_carb
sweet potato,potassium,substring,also oxalate
spinach,potassium,substring,also vitamin_k and oxalate
spinach,vitamin_k,substring,leafy green - relevant to vitamin-K antagonists
palak,vitamin_k,substring,hindi for spinach
methi leaves,vitamin_k,substring,fenugreek leaves
palak,potassium,substring,
tomato paste,potassium,substring,
tomato puree,potassium,substring,
tomato concentrate,potassium,substring,
raisin,potassium,substring,
kishmish,potassium,substring,
dried apricot,potassium,substring,
apricot,potassium,substring,
dates,potassium,substring,
khajur,potassium,substring,
sugar,added_sugar,substring,"also matches 'sugar free'/'no added sugar' - negation handled in tagger"
sucrose,added_sugar,substring,
cane sugar,added_sugar,substring,
brown sugar,added_sugar,substring,
demerara,added_sugar,substring,
icing sugar,added_sugar,substring,
powdered sugar,added_sugar,substring,
caster sugar,added_sugar,substring,
khandsari,added_sugar,substring,
boora,added_sugar,substring,
misri,added_sugar,substring,
jaggery,added_sugar,substring,
gur,added_sugar,word,
gud,added_sugar,word,
honey,added_sugar,substring,
shahad,added_sugar,substring,
invert sugar,added_sugar,substring,
invert syrup,added_sugar,substring,
golden syrup,added_sugar,substring,
treacle,added_sugar,substring,
molasses,added_sugar,substring,
caramel,added_sugar,substring,"colour/flavour; sugar-derived"
fructose,added_sugar,substring,
