risk_compound,display_name,category,description,typical_food_sources,why_it_matters_for_drugs
sodium,Sodium / salt,mineral,High sodium load from added salt and sodium-based additives,"Table salt, papad, pickles, namkeen, processed meats, sauces, instant noodles, cheese","Antagonises antihypertensives (ACE inhibitors, ARBs, diuretics, beta blockers); raises fluid retention with corticosteroids and NSAIDs"
potassium,Potassium,mineral,High potassium content or potassium-based salt substitutes,"Bananas, coconut water, potatoes, spinach, dal, dried fruit, tomato paste, low-sodium salt","Hyperkalaemia risk with ACE inhibitors, ARBs, potassium-sparing diuretics, aldosterone antagonists, trimethoprim"
added_sugar,Added / free sugars,carbohydrate,Sucrose and other free sugars added during processing,"Sugar, jaggery, honey, syrups, sweets, soft drinks, biscuits, jam","Worsens glycaemic control on antidiabetics and insulin; interacts with steroid-induced hyperglycaemia"
rapid_carb,Rapidly-absorbed / refined carbohydrate,carbohydrate,"High-glycaemic starches and maltodextrin-type glucose polymers that spike blood glucose","Maida, white rice, cornflour, maltodextrin, dextrose, glucose syrup, sabudana","Blunts glycaemic control on metformin, sulfonylureas, DPP-4/SGLT2 inhibitors, insulin"
saturated_fat,Saturated fat,lipid,High saturated fat from tropical oils and dairy fat,"Palm oil, palmolein, ghee, butter, coconut, cream, vanaspati, cheese","Opposes statins/fibrates for lipid control; large fatty meals alter absorption of some drugs"
trans_fat,Trans fat / partially hydrogenated oil,lipid,Industrially produced trans fatty acids,"Vanaspati, hydrogenated vegetable oil, some bakery shortening, older margarine","Raises cardiovascular risk; works against statins and other lipid-lowering therapy"
tyramine,Tyramine,amine,Vasoactive amine formed during fermentation and ageing,"Aged cheese, soy sauce, fermented soy, cured/fermented meats, tank beer, yeast extract, overripe bananas","Hypertensive crisis with MAO inhibitors (incl. linezolid, procarbazine); caution with some antidepressants"
vitamin_k,Vitamin K,vitamin,Foods rich in vitamin K1/K2 that affect clotting,"Spinach, kale, methi, other leafy greens, broccoli, cabbage, natto, green tea","Reduces effect of vitamin-K antagonist anticoagulants (warfarin, acenocoumarol) if intake fluctuates"
grapefruit_furanocoumarin,Grapefruit / furanocoumarins,phytochemical,"CYP3A4-inhibiting citrus compounds (grapefruit, pomelo, Seville orange)","Grapefruit, pomelo, Seville/bitter orange, some juices and marmalades","Raises blood levels of many CYP3A4 substrates: statins, calcium channel blockers, some immunosuppressants, DOACs"
caffeine,Caffeine,stimulant,Methylxanthine stimulant,"Coffee, tea, cola, energy drinks, chocolate, guarana, some supplements","Additive stimulation and raised levels with fluoroquinolones, theophylline, some antidepressants; opposes sedatives"
oxalate,Oxalates,phytochemical,High-oxalate foods that bind minerals and promote stones,"Spinach, beetroot, nuts, sesame, tea, chocolate, rhubarb, sweet potato","Reduces absorption of co-taken calcium/iron; stone risk with high-dose vitamin C and some diuretics"
calcium_mineral_chelation,Calcium / iron / zinc (chelating minerals),mineral,"Di- and trivalent cations that bind drugs in the gut","Milk, curd, paneer, fortified foods, calcium-set tofu, ragi, iron-fortified cereals","Chelates and blocks absorption of tetracyclines, fluoroquinolones, levothyroxine, bisphosphonates, some HIV drugs"
alcohol,Alcohol / ethanol,other,Ethanol as an ingredient or in beverages,"Beer, wine, spirits, some sauces, vanilla/kheer flavourings, fermented preparations","Disulfiram-like reaction with metronidazole/tinidazole; additive CNS depression with sedatives, opioids, antihistamines; hepatotoxicity with paracetamol; lactic acidosis with metformin"
histamine,Histamine (fermented/scombroid),amine,High biogenic histamine in fermented or poorly stored foods,"Aged cheese, fermented soy, wine, cured fish, sauerkraut, idli/dosa batter","Symptom flare with MAO inhibitors and some antihistamine regimens; overlaps with tyramine sources"
licorice_glycyrrhizin,Licorice / glycyrrhizin,phytochemical,Glycyrrhizin from licorice root causing pseudo-aldosteronism,"Mulethi, licorice candy, some herbal teas, certain digestive mixes and pan masala","Causes potassium loss and sodium retention; worsens hypertension control and amplifies hypokalaemia from diuretics and corticosteroids"
purine,Purines,other,High-purine foods raising uric acid,"Organ meat, red meat, seafood, anchovies, meat extracts, some pulses, yeast extract","Provokes gout flares and opposes urate-lowering therapy (allopurinol, febuxostat); interacts with thiazide-induced hyperuricaemia"
milk_allergen,Milk (allergen),allergen,Cow milk protein and milk-derived ingredients,"Milk, milk solids, whey, casein, paneer, butter, ghee, cream, khoya","Hard-stop allergen; also a chelating calcium source (see calcium_mineral_chelation)"
soy_allergen,Soy (allergen),allergen,Soybean protein and soy-derived ingredients,"Soy flour, soy protein, soy lecithin, soy sauce, tofu, textured vegetable protein","Hard-stop allergen; soy protein separately reduces levothyroxine absorption; fermented soy is a tyramine source"
nut_allergen,Tree nuts & peanut (allergen),allergen,Peanut and tree nut proteins,"Peanut, cashew, almond, walnut, pistachio, hazelnut, groundnut oil (cold-pressed)","Hard-stop allergen with anaphylaxis risk"
gluten_allergen,Gluten / wheat (allergen),allergen,Wheat/barley/rye gluten proteins,"Wheat flour, maida, atta, semolina/suji, barley malt, wheat bran, seitan","Hard-stop for coeliac disease and wheat allergy; malt/barley also overlaps with other grains"
egg_allergen,Egg (allergen),allergen,Egg proteins,"Whole egg, egg white, albumen, egg powder, lysozyme, mayonnaise","Hard-stop allergen; relevant to some vaccine and propofol cautions"
sesame_allergen,Sesame (allergen),allergen,Sesame seed protein,"Til, sesame seeds, tahini, sesame oil, gingelly oil, some namkeen and bakery toppings","Hard-stop allergen, increasingly recognised for severe reactions"
fish_allergen,Fish (allergen),allergen,Finned-fish proteins,"Fish, anchovy, sardine, fish sauce, surimi, fish extract, some Worcestershire sauce","Hard-stop allergen; anchovy/sardine are also purine sources"
crustacean_shellfish_allergen,Crustacean & shellfish (allergen),allergen,Crustacean and mollusc proteins,"Prawn, shrimp, crab, lobster, crayfish, mussels, squid, oyster","Hard-stop allergen with high anaphylaxis risk"
mustard_allergen,Mustard (allergen),allergen,Mustard seed protein,"Mustard seed, mustard powder, rai, kasundi, mustard oil (cold-pressed), some pickles and mayonnaise","Recognised allergen in EU/FSSAI labelling; ubiquitous in Indian cooking"
