ingredient_clean,occurrences,example_food_id,example_food_name
firm white pumpkin,1,IF-0014,Petha
kitchen lime,1,IF-0014,Petha
alum powder,1,IF-0014,Petha
molu leaf,1,IF-0018,Singori
coconut flakes,1,IF-0024,Cham cham
elachi,1,IF-0037,Adhirasam
loaf bread,1,IF-0042,Double ka meetha
black lentils,1,IF-0045,Kuzhi paniyaram
mung bean,1,IF-0046,Mysore pak
khus-khus seeds,1,IF-0056,Anarsa
potol,1,IF-0065,Maach Jhol
boiled pork,1,IF-0066,Pork Bharta
axone,1,IF-0068,Galho
pork,1,IF-0068,Galho
shimla mirch,1,IF-0073,Aloo shimla mirch
ladies finger,1,IF-0075,Bhindi masala
chicken thighs,1,IF-0076,Biryani
naan bread,1,IF-0081,Chicken Tikka masala
tomato sauce,1,IF-0081,Chicken Tikka masala
skinless chicken breasts,1,IF-0081,Chicken Tikka masala
bhatura,1,IF-0083,Chole bhature
masoor dal,1,IF-0084,Daal baati churma
beaten rice flakes,1,IF-0089,Poha
white urad dal,1,IF-0090,Fara
bell peppers,1,IF-0092,Kadai paneer
gravy,1,IF-0092,Kadai paneer
rose syrup,1,IF-0097,Kulfi falooda
falooda sev,1,IF-0097,Kulfi falooda
roasted gram flour,1,IF-0100,Litti chokha
mustard green,1,IF-0101,Makki di roti sarson da saag
frozen green peas,1,IF-0104,Mushroom matar
wild mushrooms,1,IF-0104,Mushroom matar
tandoori masala,1,IF-0109,Paneer tikka masala
kala chana,1,IF-0110,Pani puri
boondi,1,IF-0110,Pani puri
musk melon seeds,1,IF-0111,Panjeeri
chopped tomatoes,1,IF-0112,Papad
tea bags,1,IF-0115,Pindi chana
sattu,1,IF-0119,Sattu ki roti
white bread slices,1,IF-0121,Shahi tukra
biryani masala powder,1,IF-0124,Tandoori Fish Tikka
fish fillets,1,IF-0124,Tandoori Fish Tikka
green bell pepper,1,IF-0124,Tandoori Fish Tikka
kala jeera,1,IF-0125,Attu
elephant foot yam,1,IF-0126,Avial
long beans,1,IF-0126,Avial
tindora,1,IF-0126,Avial
split pigeon peas,1,IF-0127,Bisi bele bath
whole urad dal,1,IF-0129,Dosa
blend rice,1,IF-0129,Dosa
greens,1,IF-0136,Keerai sadam
red chili,1,IF-0137,Keerai poriyal
beef,1,IF-0138,Beef Fry
gooseberry,1,IF-0142,Kothamali sadam
pearl onions,1,IF-0144,Kuzhambu
lentils,1,IF-0148,Papadum
green moong beans,1,IF-0152,Pesarattu
thin rice flakes,1,IF-0158,Sandige
sevai,1,IF-0159,Sevai
parboiled rice,1,IF-0159,Sevai
steamer,1,IF-0159,Sevai
whole red beans,1,IF-0161,Theeyal
meat curry powder,1,IF-0164,Chicken Varuval
chicken chunks,1,IF-0164,Chicken Varuval
kala masala,1,IF-0166,Amti
baingan,1,IF-0168,Kolim Jawla
bombay duck,1,IF-0173,Bombil fry
malvani masala,1,IF-0173,Bombil fry
fry,1,IF-0175,Chevdo
chana daal,1,IF-0175,Chevdo
coconut ice,1,IF-0177,Copra paak
red food coloring,1,IF-0177,Copra paak
dal,1,IF-0178,Daal Dhokli
pav,1,IF-0179,Kutchi dabeli
bhuna chana,1,IF-0180,Dahi vada
sauce,1,IF-0184,Gatta curry
chia seed,1,IF-0188,Halvasan
rapeseed oil,1,IF-0190,Kansar
green chili paste,1,IF-0193,Khandvi
dry roasted,1,IF-0195,Laapsi
cilantro,1,IF-0196,Koshimbir
pav bhaji masala,1,IF-0201,Pav Bhaji
dinner rolls,1,IF-0201,Pav Bhaji
khaman,1,IF-0204,Sev khamani
surti papdi,1,IF-0210,Undhiyu
valor papdi,1,IF-0210,Undhiyu
green garlic chutney,1,IF-0213,Lilva Kachori
fresh green peas,1,IF-0213,Lilva Kachori
moong beans,1,IF-0214,Mag Dhokli
white flour,1,IF-0217,Farsi Puri
sticky rice,1,IF-0222,Gheela Pitha
orange rind,1,IF-0222,Gheela Pitha
panch phoran masala,1,IF-0223,Khar
forbidden black rice,1,IF-0230,Black rice
biryani masala,1,IF-0231,Bora Sawul
yellow moong daal,1,IF-0231,Bora Sawul
whole red,1,IF-0231,Bora Sawul
fresh green chilli,1,IF-0233,Chingri malai curry
lamb,1,IF-0236,Haq Maas
fish fillet,1,IF-0238,Kabiraji
mutton,1,IF-0242,Koldil Duck
fish roe,1,IF-0243,Masor Koni
pumpkin flowers,1,IF-0243,Masor Koni
dry chilli,1,IF-0245,Pakhala
tea leaves,1,IF-0246,Pani Pitha
soaked rice,1,IF-0246,Pani Pitha
cardamom pods,1,IF-0247,Payokh
red pepper,1,IF-0249,Red Rice
watercress,1,IF-0249,Red Rice
glutinous rice,1,IF-0251,Til Pitha
dried rose petals,1,IF-0253,Shufta
arrowroot powder,1,IF-0254,Mawa Bati
extract,1,PF-2,Britannia Nutrichoice Digestive High-Fibre Biscuits
belgium dark chocolate,1,PF-4,Sunfeast Baked Creations Rich Choco Chip Cookies
polyglycerol esters of interesterified ricinoleic acid,1,PF-5,"sunfeast Dark Fantasy Bourbon, Classic Biscuit Made With Real Chocolate"
castor bean,1,PF-5,"sunfeast Dark Fantasy Bourbon, Classic Biscuit Made With Real Chocolate"
nature identical artificial flavouring substances- vanilla cake,1,PF-10,Britannia Good Day Pista Badam
desiccated coconut powder,1,PF-12,UNIBIC Danish Coconut Cookies
ammonium hydrogen carbonate,1,PF-13,Orion Choco Pie - Chocolate Coated Soft Biscuit
carob bean gum,1,PF-13,Orion Choco Pie - Chocolate Coated Soft Biscuit
hydrolysed pea protein,1,PF-13,Orion Choco Pie - Chocolate Coated Soft Biscuit
monocalcium orthophosphate,1,PF-13,Orion Choco Pie - Chocolate Coated Soft Biscuit
e3411,1,PF-13,Orion Choco Pie - Chocolate Coated Soft Biscuit
non hydrogenated vegetable fat,1,PF-13,Orion Choco Pie - Chocolate Coated Soft Biscuit
sodium hydrogen carbonate,1,PF-13,Orion Choco Pie - Chocolate Coated Soft Biscuit
e3221,1,PF-13,Orion Choco Pie - Chocolate Coated Soft Biscuit
vanillin powder,1,PF-13,Orion Choco Pie - Chocolate Coated Soft Biscuit
artificial flavor,1,PF-13,Orion Choco Pie - Chocolate Coated Soft Biscuit
foxtail millet flour,1,PF-14,Britannia Nutrichoice Oats Cookies Diabetic Friendly
little millet flour,1,PF-14,Britannia Nutrichoice Oats Cookies Diabetic Friendly
artificial flavouring substances- vanilla cake,1,PF-17,Britannia Good Day Pista Badam Cookies
interesterifiedvegetable fat,1,PF-18,Sunfeast Cheese Wowzers
spice extracti,1,PF-18,Sunfeast Cheese Wowzers
polyglycerolesters of interesterified ricinoleic acid,1,PF-18,Sunfeast Cheese Wowzers
from castor oil,1,PF-18,Sunfeast Cheese Wowzers
natural and nature-identical flavoring substances,1,PF-21,Britannia Good Day Butter Jeera Cookies
nature,1,PF-23,Britannia Milk Bikis Biscuits
binding agents xanthan gum,1,PF-25,"Ritebite Max Protein Cookie Choco Almond, Sugar Free Premium Biscuit Cookies"
binding agents gum acacia,1,PF-25,"Ritebite Max Protein Cookie Choco Almond, Sugar Free Premium Biscuit Cookies"
fructo-oligosaccharide,1,PF-25,"Ritebite Max Protein Cookie Choco Almond, Sugar Free Premium Biscuit Cookies"
amaranth puffs,1,PF-25,"Ritebite Max Protein Cookie Choco Almond, Sugar Free Premium Biscuit Cookies"
roasted chick pea flour,1,PF-25,"Ritebite Max Protein Cookie Choco Almond, Sugar Free Premium Biscuit Cookies"
psyllium husk,1,PF-25,"Ritebite Max Protein Cookie Choco Almond, Sugar Free Premium Biscuit Cookies"
oats powder,1,PF-26,Britannia Good Day Chunkies Chocochip Cookie
mango filling,1,PF-28,Orion Mango Choco Pie
dry nuts,1,PF-31,UNIBIC Cashew Badam Cookies
chicory mixture,1,PF-34,Parle Hide & Seek Cafe Mocha Cookies
