condition,kind,nutrient_key,ceiling_per_100g,risk_compound,severity,guidance
hypertension,nutrient_ceiling,sodium_mg_100g,500,,HIGH,"High sodium works directly against blood-pressure control."
hypertension,nutrient_ceiling,salt_g_100g,1.25,,HIGH,"High salt works directly against blood-pressure control."
hypertension,risk_compound,,,licorice_glycyrrhizin,HIGH,"Licorice / mulethi raises blood pressure and causes potassium loss."
hypertension,risk_compound,,,sodium,MODERATE,"Sodium-heavy ingredients raise blood pressure."
type 2 diabetes,nutrient_ceiling,sugars_g_100g,15,,HIGH,"High free sugars worsen glycaemic control."
type 2 diabetes,risk_compound,,,added_sugar,HIGH,"Added sugars spike blood glucose."
type 2 diabetes,risk_compound,,,rapid_carb,MODERATE,"Refined / rapidly-absorbed carbs spike blood glucose."
chronic kidney disease,nutrient_ceiling,sodium_mg_100g,400,,HIGH,"Sodium restriction is important in CKD to control fluid and blood pressure."
chronic kidney disease,risk_compound,,,potassium,HIGH,"Damaged kidneys clear potassium poorly - excess risks dangerous blood levels."
chronic kidney disease,risk_compound,,,calcium_mineral_chelation,LOW,"Mineral / phosphate load needs watching in CKD."
high cholesterol,nutrient_ceiling,saturated_fat_g_100g,5,,MODERATE,"Saturated fat raises LDL cholesterol."
high cholesterol,risk_compound,,,trans_fat,HIGH,"Trans fat strongly raises cardiovascular risk."
high cholesterol,risk_compound,,,saturated_fat,MODERATE,"Saturated fat raises LDL cholesterol."
gout,risk_compound,,,purine,HIGH,"High-purine foods raise uric acid and trigger gout flares."
gout,risk_compound,,,alcohol,MODERATE,"Alcohol raises uric acid and precipitates attacks."
gout,nutrient_ceiling,sugars_g_100g,15,,LOW,"Fructose from high sugar raises uric acid."
coeliac disease,risk_compound,,,gluten_allergen,HIGH,"Gluten damages the gut lining in coeliac disease - strict avoidance."
heart failure,nutrient_ceiling,sodium_mg_100g,400,,HIGH,"Sodium drives fluid retention and breathlessness in heart failure."
heart failure,risk_compound,,,licorice_glycyrrhizin,HIGH,"Licorice causes sodium and fluid retention."
gerd,risk_compound,,,caffeine,LOW,"Caffeine can relax the lower oesophageal sphincter and worsen reflux."
obesity,nutrient_ceiling,sugars_g_100g,22.5,,LOW,"Energy-dense from sugar - limiting supports weight goals."
obesity,nutrient_ceiling,saturated_fat_g_100g,5,,LOW,"Energy-dense from saturated fat - limiting supports weight goals."
