active_ingredient,medicine_count,drug_class,method,top_sub_category
paracetamol,13332,Analgesic / antipyretic (aniline),lookup,Anti Rheumatics Non Steroidal Systemic
clavulanic acid,9970,Beta-lactamase inhibitor,lookup,Broad Spectrum Penicillins
amoxycillin,8478,Penicillin,lookup,Broad Spectrum Penicillins
domperidone,7223,Dopamine antagonist antiemetic,lookup,Gastroprokinetics
cefixime,6802,Cephalosporin,lookup,Cephalosporins
diclofenac,6229,NSAID,lookup,Anti Rheumatics Non Steroidal Systemic
cefpodoxime proxetil,6163,Cephalosporin,lookup,Cephalosporins
ofloxacin,6148,Fluoroquinolone,stem,Intestinal Anti Infective Antidiarrhoeals
cefuroxime,5552,Cephalosporin,lookup,Cephalosporins
rabeprazole,5390,Proton pump inhibitor,lookup,Gastroprokinetics
metformin,4830,Biguanide (antidiabetic),lookup,Oral Antidiabetics
pantoprazole,4648,Proton pump inhibitor,lookup,Gastroprokinetics
aceclofenac,4375,NSAID,lookup,Anti Rheumatics Non Steroidal Systemic
levocetirizine,3650,Antihistamine (2nd generation),lookup,Systemic Antihistamines
montelukast,3235,Leukotriene receptor antagonist,lookup,Systemic Antihistamines
azithromycin,3171,Macrolide,lookup,Macrolides And Similar Types
chlorpheniramine maleate,3076,Antihistamine (1st generation),lookup,Other Cough Cold Preparations
clonazepam,3037,Benzodiazepine,lookup,Anti Epileptics
phenylephrine,3033,Nasal / systemic decongestant (sympathomimetic),lookup,Other Cough Cold Preparations
itraconazole,2940,Azole antifungal,lookup,Ophthalmological Anti Infectives Medicines
methylcobalamin,2460,Vitamin B12,lookup,Anti Epileptics
esomeprazole,2400,Proton pump inhibitor,lookup,Gastroprokinetics
levosulpiride,2209,Prokinetic (dopamine D2 antagonist),lookup,Anti Ulcerants Acid Pump Inhibitors
serratiopeptidase,2160,Proteolytic / anti-inflammatory enzyme,lookup,Anti Rheumatics Non Steroidal Systemic
nimesulide,2123,NSAID,lookup,Anti Rheumatics Non Steroidal Systemic
glimepiride,2100,Sulfonylurea (antidiabetic),lookup,Oral Antidiabetics
ornidazole,2051,Nitroimidazole antimicrobial,lookup,Intestinal Anti Infective Antidiarrhoeals
mefenamic acid,2031,NSAID,lookup,Anti Rheumatics Non Steroidal Systemic
chlorzoxazone,2022,Skeletal muscle relaxant,lookup,Anti Rheumatics Non Steroidal Systemic
metronidazole,1805,Nitroimidazole antimicrobial,lookup,Intestinal Anti Infective Antidiarrhoeals
omeprazole,1693,Proton pump inhibitor,lookup,Anti Ulcerants Acid Pump Inhibitors
clindamycin,1655,Lincosamide,lookup,Macrolides And Similar Types
ibuprofen,1617,NSAID,lookup,Anti Rheumatics Non Steroidal Systemic
pregabalin,1616,Gabapentinoid,lookup,Anti Epileptics
dextromethorphan hydrobromide,1603,Antitussive,lookup,Other Cough Cold Preparations
thiocolchicoside,1564,Skeletal muscle relaxant,lookup,Anti Rheumatics Non Steroidal Systemic
deflazacort,1560,Corticosteroid,lookup,Anti Rheumatics Corticosteroid Combinations Systemic
ambroxol,1539,Mucolytic / expectorant,lookup,Other Cough Cold Preparations
escitalopram oxalate,1531,SSRI,lookup,Anti Depressants And Mood Stabilisers
clotrimazole,1505,Azole antifungal,lookup,Topical Corticosteroid Combinations
etoricoxib,1438,NSAID (COX-2 selective),lookup,Anti Rheumatics Non Steroidal Systemic
ciprofloxacin,1431,Fluoroquinolone,stem,Intestinal Anti Infective Antidiarrhoeals
cetirizine,1393,Antihistamine (2nd generation),lookup,Systemic Antihistamines
dicyclomine,1364,Antispasmodic (anticholinergic/musculotropic),lookup,Antispasmodic Analgesic Combinations
sulbactam,1330,Beta-lactamase inhibitor,lookup,Cephalosporins
ondansetron,1299,5-HT3 receptor antagonist,lookup,Antacids Antiflatulents And Carminatives
guaifenesin,1276,Mucolytic / expectorant,lookup,Other Cough Cold Preparations
terbinafine,1262,Allylamine antifungal,lookup,Systemic Agents For Fungal Infections
bromelain,1248,Proteolytic / anti-inflammatory enzyme,lookup,Anti Inflammatory Enzymes
fexofenadine,1244,Antihistamine (2nd generation),lookup,Systemic Antihistamines
ceftriaxone,1236,Cephalosporin,lookup,Cephalosporins
cefalexin,1236,Cephalosporin,lookup,Cephalosporins
cefotaxime,1234,Cephalosporin,lookup,Cephalosporins
rutoside,1213,Proteolytic / anti-inflammatory enzyme,lookup,Anti Inflammatory Enzymes
clobetasol,1208,Corticosteroid,lookup,Topical Corticosteroid Combinations
gabapentin,1183,Gabapentinoid,lookup,Anti Epileptics
telmisartan,1166,Angiotensin receptor blocker (ARB),lookup,Angiotensin Ii Antagonists Calcium Antagonists
nandrolone decanoate,1155,Anabolic steroid,lookup,Anabolic Hormones Systemic
trypsin,1132,Proteolytic / anti-inflammatory enzyme,lookup,Anti Inflammatory Enzymes
ivermectin,1080,Anthelmintic,lookup,Anthelmintics Excluding Schistosomicides
moxifloxacin,1068,Fluoroquinolone,stem,Ophthalmological Anti Infectives Medicines
fluconazole,978,Azole antifungal,lookup,Systemic Agents For Fungal Infections
vitamin b6,952,Vitamin B6,lookup,Methylcobalamin Combinations
amitriptyline,949,Tricyclic antidepressant,lookup,Other Anti Malarials
trypsin chymotrypsin,946,Proteolytic / anti-inflammatory enzyme,lookup,Anti Inflammatory Enzymes
neomycin,924,Aminoglycoside,lookup,Topical Corticosteroid Combinations
chlordiazepoxide,902,Benzodiazepine,lookup,Other Anti Malarials
simethicone,891,Antiflatulent,lookup,All Other Anti Ulcerants
terbutaline,883,Beta-2 agonist (bronchodilator),lookup,Other Cough Cold Preparations
tinidazole,882,Nitroimidazole antimicrobial,lookup,Intestinal Anti Infective Antidiarrhoeals
cyproheptadine,850,Antihistamine (1st generation),lookup,Appetite Stimulants
sitagliptin,840,DPP-4 inhibitor,lookup,Oral Antidiabetics
vildagliptin,840,DPP-4 inhibitor,lookup,Oral Antidiabetics
naproxen,840,NSAID,lookup,Anti Rheumatics Non Steroidal Systemic
nortriptyline,836,Tricyclic antidepressant,lookup,Anti Epileptics
ampicillin,816,Penicillin,lookup,Broad Spectrum Penicillins
cloxacillin,816,Penicillin,lookup,Broad Spectrum Penicillins
levofloxacin,803,Fluoroquinolone,stem,Ophthalmological Anti Infectives Medicines
piperacillin,784,Penicillin,lookup,Medium And Narrow Spectrum Penicillins
amlodipine,778,Calcium channel blocker (dihydropyridine),lookup,Angiotensin Ii Antagonists Calcium Antagonists
beclometasone,773,Corticosteroid,lookup,Topical Corticosteroid Combinations
caffeine,769,Stimulant / wakefulness agent,lookup,Systemic Antihistamines
tramadol,764,Opioid analgesic,lookup,Antifibrinolytics
tazobactum,756,Beta-lactamase inhibitor,lookup,Medium And Narrow Spectrum Penicillins
progesterone,752,Progestogen,lookup,Progestogens Excluding G3 A G3 F
bromhexine,751,Mucolytic / expectorant,lookup,Other Cough Cold Preparations
tranexamic acid,748,Antifibrinolytic / haemostatic,lookup,Antifibrinolytics
alprazolam,743,Benzodiazepine,lookup,Tranquillisers
methylprednisolone,728,Corticosteroid,lookup,Systemic Corticosteroids Plain
olanzapine,704,Atypical antipsychotic,lookup,Atypical Antipsychotics
oxetacaine,702,Mucosal protectant,lookup,All Other Anti Ulcerants
dexamethasone,693,Corticosteroid,lookup,Systemic Corticosteroids Plain
acyclovir,691,Antiviral (nucleoside analogue),lookup,Ophthalmological Anti Infectives Medicines
acetylcysteine,688,Mucolytic / expectorant,lookup,Anti Rheumatics Non Steroidal Systemic
aluminium hydroxide,678,Antacid,lookup,All Other Anti Ulcerants
fluoxetine,644,SSRI,lookup,Anti Depressants And Mood Stabilisers
norfloxacin,642,Fluoroquinolone,stem,Intestinal Anti Infective Antidiarrhoeals
folic acid,638,Vitamin B9,lookup,Other Antiemetics And Antinauseants
risperidone,637,Atypical antipsychotic,lookup,Atypical Antipsychotics
salbutamol,634,Beta-2 agonist (bronchodilator),lookup,Other Cough Cold Preparations
gentamicin,632,Aminoglycoside,lookup,Topical Corticosteroid Combinations
ketoconazole,632,Azole antifungal,lookup,Topical Dermatological Antifungals
rifaximin,632,Rifamycin,lookup,Intestinal Anti Infective Antidiarrhoeals
teneligliptin,630,DPP-4 inhibitor,lookup,Oral Antidiabetics
gliclazide,630,Sulfonylurea (antidiabetic),lookup,Oral Antidiabetics
ketorolac,627,NSAID,lookup,Opthalmological Nsaids
ramipril,621,ACE inhibitor,lookup,Ace Inhibitors Plain
hydroxyzine,620,Antihistamine (1st generation),lookup,Systemic Antihistamines
cefadroxil,618,Cephalosporin,lookup,Cephalosporins
cefoperazone,617,Cephalosporin,lookup,Cephalosporins
clopidogrel,616,Antiplatelet (P2Y12 inhibitor),lookup,Platelet Aggregation Inhibitors
cefditoren,615,Cephalosporin,lookup,Cephalosporins
quiniodochlor,612,Amphenicol,lookup,Cephalosporins
lumefantrine,612,Antimalarial,lookup,Other Anti Malarials
levosalbutamol,612,Beta-2 agonist (bronchodilator),lookup,Bronchodilators
drotaverine,609,Antispasmodic (anticholinergic/musculotropic),lookup,Antispasmodics Combined With Other Products
albendazole,600,Anthelmintic,lookup,Anthelmintics Excluding Schistosomicides
chloramphenicol,593,Amphenicol,lookup,Otological Anti Infectives
febuxostat,588,Xanthine oxidase inhibitor,lookup,Anti Gout Preparations
acebrophylline,583,Methylxanthine bronchodilator,lookup,Non Steroidal Respiratory Anti Inflammatories
linezolid,576,Oxazolidinone (weak MAO inhibitor),lookup,Macrolides And Similar Types
meropenem,576,Carbapenem,lookup,Other Beta Lactam Antibacterials Excluding Penicillins Cephalosporins
luliconazole,572,Azole antifungal,lookup,Topical Dermatological Antifungals
tricholine citrate,570,Nootropic / neurotrophic,lookup,Appetite Stimulants
aspirin,553,NSAID,lookup,Platelet Aggregation Inhibitors
trihexyphenidyl,533,Anticholinergic (anti-parkinson),lookup,Atypical Antipsychotics
faropenem,512,Penem (oral),lookup,Other Beta Lactam Antibacterials Excluding Penicillins Cephalosporins
metoclopramide,512,Dopamine antagonist antiemetic,lookup,Gastroprokinetics
itopride,512,Prokinetic (dopamine D2 antagonist),lookup,Gastroprokinetics
miconazole,511,Azole antifungal,lookup,Topical Corticosteroid Combinations
artemether,510,Antimalarial,lookup,Other Anti Malarials
sucralfate,510,Mucosal protectant,lookup,All Other Anti Ulcerants
cinnarizine,510,Calcium channel blocker (antivertigo/migraine),lookup,Antivertigo Products
ursodeoxycholic acid,508,Bile acid,lookup,Bile Therapy And Cholagogues Bile Stone Therapy
piracetam,506,Nootropic / neurotrophic,lookup,Nootropics
fluticasone propionate,499,Corticosteroid,lookup,Bronchodilators
theophylline,497,Methylxanthine bronchodilator,lookup,Other Cough Cold Preparations
isoniazid,496,Antitubercular,lookup,Antitubercular Products
polymyxin b,487,Polymyxin,lookup,Ophthalmological Anti Infectives Medicines
betamethasone,486,Corticosteroid,lookup,Topical Corticosteroid Combinations
norethisterone,484,Progestogen,lookup,Hormonal Contraceptives Systemic
paracetamol/acetaminophen,476,Analgesic / antipyretic (aniline),lookup,Antifibrinolytics
milk of magnesia,469,Antacid,lookup,All Other Anti Ulcerants
tamsulosin,461,Alpha-1 blocker (uroselective),lookup,Benign Prostatic Hypertrophy Bph Products
sertraline,455,SSRI,lookup,Anti Depressants And Mood Stabilisers
clarithromycin,450,Macrolide,lookup,Macrolides And Similar Types
povidone iodine,447,Antiseptic / disinfectant,lookup,Eye Ear Anti Infectives
rifampicin,437,Rifamycin,lookup,Antitubercular Products
doxycycline,432,Tetracycline,lookup,Tetracyclines And Combinations
dexlansoprazole,421,Proton pump inhibitor,lookup,Anti Ulcerants Acid Pump Inhibitors
dapagliflozin,420,SGLT2 inhibitor,lookup,Oral Antidiabetics
remogliflozin etabonate,420,SGLT2 inhibitor,lookup,Oral Antidiabetics
empagliflozin,420,SGLT2 inhibitor,lookup,Oral Antidiabetics
atropine,420,Antispasmodic (anticholinergic/musculotropic),lookup,Intestinal Anti Infective Antidiarrhoeals
linagliptin,419,DPP-4 inhibitor,lookup,Oral Antidiabetics
mesalazine,419,Aminosalicylate,lookup,Antacids Antiflatulents And Carminatives
etofylline,415,Methylxanthine bronchodilator,lookup,Other Cough Cold Preparations
sildenafil,414,PDE5 inhibitor,lookup,Erectile Dysfunction Products
lorazepam,414,Benzodiazepine,lookup,Systemic Antihistamines
carboxymethylcellulose,413,Ocular lubricant,lookup,Artificial Tears And Ocular Lubricants
bilastine,413,Antihistamine (2nd generation),lookup,Systemic Antihistamines
pheniramine,412,Antihistamine (1st generation),lookup,Systemic Antihistamines
citicoline,407,Nootropic / neurotrophic,lookup,Nootropics
tizanidine,403,Skeletal muscle relaxant,lookup,Anti Rheumatics Non Steroidal Systemic
etizolam,398,Benzodiazepine,lookup,Hypnotics Sedatives
metaxalone,390,Skeletal muscle relaxant,lookup,Anti Rheumatics Non Steroidal Systemic
paroxetine,388,SSRI,lookup,Anti Depressants And Mood Stabilisers
betahistine,388,Antivertigo (histamine analogue),lookup,Antivertigo Products
sorbitol,387,Osmotic laxative,lookup,Appetite Stimulants
doxylamine,384,Antihistamine (1st generation),lookup,Other Antiemetics And Antinauseants
indomethacin,379,NSAID,lookup,Anti Rheumatics Non Steroidal Systemic
budesonide,378,Corticosteroid,lookup,Bronchodilators
