food_id,risk_compound,confidence,method
IF-0001,added_sugar,0.9,keyword
IF-0001,gluten_allergen,0.9,keyword
IF-0001,milk_allergen,0.9,keyword
IF-0001,rapid_carb,0.9,keyword
IF-0002,added_sugar,0.9,keyword
IF-0002,saturated_fat,0.9,keyword
IF-0003,added_sugar,0.9,keyword
IF-0003,milk_allergen,0.9,keyword
IF-0003,nut_allergen,0.9,keyword
IF-0003,potassium,0.9,keyword
IF-0003,saturated_fat,0.9,keyword
IF-0004,added_sugar,0.9,keyword
IF-0004,gluten_allergen,0.7,llm
IF-0004,milk_allergen,0.9,keyword
IF-0004,nut_allergen,0.9,keyword
IF-0004,rapid_carb,0.7,llm
IF-0004,saturated_fat,0.9,keyword
IF-0005,added_sugar,0.9,keyword
IF-0005,gluten_allergen,0.9,keyword
IF-0005,milk_allergen,0.9,keyword
IF-0005,rapid_carb,0.9,keyword
IF-0005,saturated_fat,0.9,keyword
IF-0005,sodium,0.6,llm
IF-0006,added_sugar,0.9,keyword
IF-0007,gluten_allergen,0.9,keyword
IF-0007,histamine,0.7,keyword
IF-0007,milk_allergen,0.9,keyword
IF-0007,rapid_carb,0.9,keyword
IF-0007,sodium,0.9,keyword
IF-0008,added_sugar,0.9,keyword
IF-0008,nut_allergen,0.9,keyword
IF-0008,saturated_fat,0.9,keyword
IF-0009,added_sugar,0.9,keyword
IF-0009,milk_allergen,0.9,keyword
IF-0010,added_sugar,0.9,keyword
IF-0010,milk_allergen,0.9,keyword
IF-0010,nut_allergen,0.45,llm
IF-0010,rapid_carb,0.6,llm
IF-0011,added_sugar,0.9,keyword
IF-0011,saturated_fat,0.9,keyword
IF-0012,added_sugar,0.9,keyword
IF-0012,milk_allergen,0.9,keyword
IF-0012,nut_allergen,0.85,llm
IF-0013,added_sugar,0.9,keyword
IF-0013,milk_allergen,0.9,keyword
IF-0013,rapid_carb,0.9,keyword
IF-0013,saturated_fat,0.9,keyword
IF-0014,added_sugar,0.9,keyword
IF-0015,added_sugar,0.9,keyword
IF-0015,nut_allergen,0.85,llm
IF-0015,rapid_carb,0.6,llm
IF-0016,added_sugar,0.9,keyword
IF-0016,milk_allergen,0.9,keyword
IF-0016,nut_allergen,0.85,llm
IF-0017,gluten_allergen,0.9,keyword
IF-0017,milk_allergen,0.9,keyword
IF-0017,nut_allergen,0.85,llm
IF-0017,rapid_carb,0.9,keyword
IF-0017,saturated_fat,0.9,keyword
IF-0018,milk_allergen,0.85,llm
IF-0019,added_sugar,0.45,llm
IF-0019,nut_allergen,0.45,llm
IF-0019,rapid_carb,0.9,keyword
IF-0019,saturated_fat,0.9,keyword
IF-0020,added_sugar,0.9,keyword
IF-0020,milk_allergen,0.9,keyword
IF-0020,saturated_fat,0.9,keyword
IF-0021,added_sugar,0.9,keyword
IF-0021,milk_allergen,0.85,llm
IF-0021,saturated_fat,0.9,keyword
IF-0022,added_sugar,0.9,keyword
IF-0022,milk_allergen,0.9,keyword
IF-0023,added_sugar,0.9,keyword
IF-0023,milk_allergen,0.9,keyword
IF-0024,added_sugar,0.9,keyword
IF-0024,gluten_allergen,0.7,llm
IF-0024,rapid_carb,0.7,llm
IF-0024,saturated_fat,0.9,keyword
IF-0025,added_sugar,0.9,keyword
IF-0025,milk_allergen,0.9,keyword
IF-0026,added_sugar,0.9,keyword
IF-0026,milk_allergen,0.85,llm
IF-0026,saturated_fat,0.9,keyword
IF-0027,added_sugar,0.9,keyword
IF-0027,gluten_allergen,0.7,llm
IF-0027,milk_allergen,0.9,keyword
IF-0027,rapid_carb,0.7,llm
IF-0028,milk_allergen,0.9,keyword
IF-0028,rapid_carb,0.9,keyword
IF-0028,saturated_fat,0.9,keyword
IF-0029,added_sugar,0.9,keyword
IF-0029,saturated_fat,0.9,keyword
IF-0030,added_sugar,0.9,keyword
IF-0030,milk_allergen,0.9,keyword
IF-0031,added_sugar,0.9,keyword
IF-0031,gluten_allergen,0.7,llm
IF-0031,milk_allergen,0.85,llm
IF-0031,rapid_carb,0.7,llm
IF-0031,saturated_fat,0.9,keyword
IF-0032,gluten_allergen,0.9,keyword
IF-0032,rapid_carb,0.9,keyword
IF-0033,milk_allergen,0.9,keyword
IF-0034,milk_allergen,0.9,keyword
IF-0034,nut_allergen,0.9,keyword
IF-0035,added_sugar,0.9,keyword
IF-0035,milk_allergen,0.85,llm
IF-0036,added_sugar,0.9,keyword
IF-0036,milk_allergen,0.9,keyword
IF-0037,added_sugar,0.9,keyword
IF-0037,rapid_carb,0.9,keyword
IF-0037,saturated_fat,0.9,keyword
IF-0038,added_sugar,0.9,keyword
IF-0038,rapid_carb,0.9,keyword
IF-0038,saturated_fat,0.9,keyword
IF-0039,added_sugar,0.9,keyword
IF-0039,nut_allergen,0.9,keyword
IF-0039,potassium,0.9,keyword
IF-0039,saturated_fat,0.9,keyword
IF-0040,added_sugar,0.9,keyword
IF-0040,nut_allergen,0.9,keyword
IF-0041,added_sugar,0.9,keyword
IF-0041,milk_allergen,0.9,keyword
IF-0042,milk_allergen,0.9,keyword
IF-0043,added_sugar,0.9,keyword
IF-0043,gluten_allergen,0.9,keyword
IF-0043,rapid_carb,0.9,keyword
IF-0043,saturated_fat,0.9,keyword
IF-0043,sodium,0.9,keyword
IF-0044,added_sugar,0.9,keyword
IF-0044,gluten_allergen,0.9,keyword
IF-0045,rapid_carb,0.6,llm
IF-0046,added_sugar,0.9,keyword
IF-0046,gluten_allergen,0.9,keyword
IF-0046,milk_allergen,0.9,keyword
IF-0046,rapid_carb,0.9,keyword
IF-0046,saturated_fat,0.9,keyword
IF-0047,added_sugar,0.9,keyword
IF-0047,gluten_allergen,0.9,keyword
IF-0047,rapid_carb,0.9,keyword
IF-0047,saturated_fat,0.9,keyword
IF-0048,milk_allergen,0.9,keyword
IF-0048,rapid_carb,0.9,keyword
IF-0049,added_sugar,0.9,keyword
IF-0050,added_sugar,0.9,keyword
IF-0050,nut_allergen,0.9,keyword
IF-0050,rapid_carb,0.6,llm
IF-0050,saturated_fat,0.9,keyword
IF-0051,added_sugar,0.9,keyword
IF-0051,rapid_carb,0.9,keyword
IF-0051,saturated_fat,0.9,keyword
IF-0052,added_sugar,0.9,keyword
IF-0052,potassium,0.9,keyword
IF-0053,gluten_allergen,0.7,keyword
IF-0053,milk_allergen,0.9,keyword
IF-0054,added_sugar,0.9,keyword
IF-0054,potassium,0.9,keyword
IF-0054,rapid_carb,0.9,keyword
IF-0055,added_sugar,0.9,keyword
IF-0055,rapid_carb,0.9,keyword
IF-0056,added_sugar,0.9,keyword
IF-0056,rapid_carb,0.9,keyword
IF-0057,added_sugar,0.9,keyword
IF-0057,milk_allergen,0.9,keyword
IF-0057,nut_allergen,0.85,llm
IF-0058,gluten_allergen,0.9,keyword
IF-0058,rapid_carb,0.9,keyword
IF-0059,added_sugar,0.9,keyword
IF-0059,milk_allergen,0.9,keyword
IF-0059,nut_allergen,0.45,llm
IF-0059,rapid_carb,0.6,llm
IF-0060,added_sugar,0.9,keyword
IF-0060,gluten_allergen,0.9,keyword
IF-0060,rapid_carb,0.9,keyword
IF-0061,added_sugar,0.9,keyword
IF-0061,rapid_carb,0.9,keyword
IF-0062,added_sugar,0.9,keyword
IF-0062,gluten_allergen,0.9,keyword
IF-0062,rapid_carb,0.9,keyword
IF-0062,saturated_fat,0.9,keyword
IF-0063,added_sugar,0.9,keyword
IF-0063,milk_allergen,0.9,keyword
IF-0064,added_sugar,0.9,keyword
IF-0064,gluten_allergen,0.9,keyword
IF-0064,rapid_carb,0.9,keyword
IF-0064,saturated_fat,0.9,keyword
IF-0065,fish_allergen,0.9,llm
IF-0065,potassium,0.3,llm
IF-0067,added_sugar,0.9,keyword
IF-0067,milk_allergen,0.9,keyword
IF-0067,rapid_carb,0.6,llm
IF-0068,rapid_carb,0.6,llm
IF-0068,sodium,0.9,keyword
IF-0069,potassium,0.9,keyword
IF-0070,gluten_allergen,0.65,llm
