active_ingredient,drug_class,source
 cefazolin,Cephalosporin,seed:pharmacology-reference
5-asa,Aminosalicylate,seed:pharmacology-reference
abacavir,Antiretroviral,seed:pharmacology-reference
acarbose,Alpha-glucosidase inhibitor,seed:pharmacology-reference
acebrophylline,Methylxanthine bronchodilator,seed:pharmacology-reference
acebutolol,Beta blocker,seed:pharmacology-reference
aceclofenac,NSAID,seed:pharmacology-reference
acenocoumarol,Anticoagulant (vitamin K antagonist),seed:pharmacology-reference
acetaminophen,Analgesic / antipyretic (aniline),seed:pharmacology-reference
acetazolamide,Carbonic anhydrase inhibitor,seed:pharmacology-reference
acetyl-l-carnitine,Antioxidant / micronutrient,seed:pharmacology-reference
acetylcysteine,Mucolytic / expectorant,seed:pharmacology-reference
acetylsalicylic acid,NSAID,seed:pharmacology-reference
aciclovir,Antiviral (nucleoside analogue),seed:pharmacology-reference
aclidinium,Antimuscarinic bronchodilator,seed:pharmacology-reference
acrivastine,Antihistamine (2nd generation),seed:pharmacology-reference
activated dimethicone,Antiflatulent,seed:pharmacology-reference
acyclovir,Antiviral (nucleoside analogue),seed:pharmacology-reference
adalimumab,Biologic DMARD (anti-TNF / interleukin),seed:pharmacology-reference
adapalene,Topical retinoid,seed:pharmacology-reference
adefovir,Antiviral (anti-hepatitis),seed:pharmacology-reference
ademetionine,Hepatoprotective,seed:pharmacology-reference
agomelatine,Atypical antidepressant,seed:pharmacology-reference
albendazole,Anthelmintic,seed:pharmacology-reference
alcaftadine,Antihistamine H1 (ocular),seed:pharmacology-reference
alendronate,Bisphosphonate,seed:pharmacology-reference
alendronic acid,Bisphosphonate,seed:pharmacology-reference
alfacalcidol,Vitamin D analogue,seed:pharmacology-reference
alfuzosin,Alpha-1 blocker (uroselective),seed:pharmacology-reference
allopurinol,Xanthine oxidase inhibitor,seed:pharmacology-reference
allylestrenol,Progestogen,seed:pharmacology-reference
almotriptan,Triptan (5-HT1B/1D agonist),seed:pharmacology-reference
alogliptin,DPP-4 inhibitor,seed:pharmacology-reference
alpha amylase (digestive),Digestive enzyme (pancreatic),seed:pharmacology-reference
alpha lipoic acid,Antioxidant / micronutrient,seed:pharmacology-reference
alpha tocopherol,Vitamin E,seed:pharmacology-reference
alpha-beta arteether,Antimalarial,seed:pharmacology-reference
alprazolam,Benzodiazepine,seed:pharmacology-reference
alteplase,Fibrinolytic,seed:pharmacology-reference
aluminium hydroxide,Antacid,seed:pharmacology-reference
aluminium hydroxide gel,Antacid,seed:pharmacology-reference
amantadine,Dopaminergic anti-parkinson,seed:pharmacology-reference
ambrisentan,Pulmonary hypertension agent,seed:pharmacology-reference
ambroxol,Mucolytic / expectorant,seed:pharmacology-reference
amikacin,Aminoglycoside,seed:pharmacology-reference
amiloride,Potassium-sparing diuretic / aldosterone antagonist,seed:pharmacology-reference
amino acids,Amino acid / nutritional,seed:pharmacology-reference
aminocaproic acid,Antifibrinolytic / haemostatic,seed:pharmacology-reference
aminophylline,Methylxanthine bronchodilator,seed:pharmacology-reference
amiodarone,Antiarrhythmic,seed:pharmacology-reference
amisulpride,Atypical antipsychotic,seed:pharmacology-reference
amitriptyline,Tricyclic antidepressant,seed:pharmacology-reference
amlodipine,Calcium channel blocker (dihydropyridine),seed:pharmacology-reference
amodiaquine,Antimalarial,seed:pharmacology-reference
amoxapine,Tricyclic antidepressant,seed:pharmacology-reference
amoxicillin,Penicillin,seed:pharmacology-reference
amoxycillin,Penicillin,seed:pharmacology-reference
amphetamine,Stimulant / wakefulness agent,seed:pharmacology-reference
amphotericin b,Polyene antifungal,seed:pharmacology-reference
ampicillin,Penicillin,seed:pharmacology-reference
amylase,Digestive enzyme (pancreatic),seed:pharmacology-reference
