active_ingredient,medicine_count,top_sub_category
bacitracin,249,Ophthalmological Anti Infectives Medicines
sulphadoxine,204,Other Anti Malarials
choline salicylate,96,Other Stomatologicals
benzydamine,77,Topical Anti Rheumatic Non Steroidal
diloxanide,65,Amebicides
amlexanox,64,All Other Anti Ulcerants
glycerin,56,Solutions For Osmotic Therapy
citric acid,53,All Other Urological Products
alpha ketoanalogue,48,Urinary Incontinence Products
sulphacetamide,37,Topical Antibiotics And Or Sulphonamids
clofazimine,33,Drugs For Treatment Of Lepra
aztreonam,32,Other Beta Lactam Antibacterials Excluding Penicillins Cephalosporins
human,24,Pure Vaccines
enclomiphene,17,Gonadotrophins Including Other Ovulation Stimulants
stavudine,8,Hiv Antivirals
sodium aminosalicylate,4,Systemic Sulphonamides Excluding Trimethoprim Combinations
live freeze dried lactic acid bacteria and bifidobacteria,3,Intestinal Anti Inflammatory Agents
