alias,generic,notes
ecosprin,aspirin,common Indian antiplatelet brand
disprin,aspirin,
loprin,aspirin,
crocin,paracetamol,
dolo,paracetamol,
calpol,paracetamol,
pacimol,paracetamol,
brufen,ibuprofen,
combiflam,ibuprofen,ibuprofen + paracetamol combo - mapped to ibuprofen
ibugesic,ibuprofen,
telma,telmisartan,
telma h,telmisartan,telmisartan + hydrochlorothiazide combo
telsartan,telmisartan,
amlong,amlodipine,
amlokind,amlodipine,
stamlo,amlodipine,
amlodac,amlodipine,
cardace,ramipril,
ramistar,ramipril,
envas,enalapril,
losar,losartan,
losacar,losartan,
repace,losartan,
glycomet,metformin,
glucophage,metformin,
metsmall,metformin,
januvia,sitagliptin,
istavel,sitagliptin,
storvas,atorvastatin,
atorva,atorvastatin,
lipitor,atorvastatin,
rosuvas,rosuvastatin,
crestor,rosuvastatin,
pan,pantoprazole,
pantop,pantoprazole,
pantocid,pantoprazole,
omez,omeprazole,
ocid,omeprazole,
razo,rabeprazole,
rabekind,rabeprazole,
aciloc,ranitidine,
rantac,ranitidine,
thyronorm,levothyroxine,
eltroxin,levothyroxine,
thyrox,levothyroxine,
acitrom,acenocoumarol,
warf,warfarin,
uniwarfin,warfarin,
clopilet,clopidogrel,
deplatt,clopidogrel,
plavix,clopidogrel,
met xl,metoprolol,
metolar,metoprolol,
ciplox,ciprofloxacin,
cifran,ciprofloxacin,
augmentin,amoxycillin,amoxicillin + clavulanic acid - mapped to the penicillin
azithral,azithromycin,
azee,azithromycin,
zifi,cefixime,
taxim o,cefixime,
monocef,ceftriaxone,
flagyl,metronidazole,
metrogyl,metronidazole,
lasix,furosemide,
aldactone,spironolactone,
lanoxin,digoxin,
wysolone,prednisolone,
omnacortil,prednisolone,
linospan,linezolid,
lithosun,lithium carbonate,
licab,lithium carbonate,
