active_ingredient,drug_class,confidence,method,rationale
magnesium,Mineral / electrolyte supplement,0.9,llm,pharmacology knowledge: Mineral / electrolyte supplement
metoprolol succinate,Beta blocker,0.9,llm,pharmacology knowledge: Beta blocker
niacinamide,Vitamin B3 (niacin),0.9,llm,pharmacology knowledge: Vitamin B3 (niacin)
melatonin,Melatonergic hypnotic,0.9,llm,pharmacology knowledge: Melatonergic hypnotic
glucosamine,SYSADOA (osteoarthritis),0.9,llm,pharmacology knowledge: SYSADOA (osteoarthritis)
nicotinamide,Vitamin B3 (niacin),0.9,llm,pharmacology knowledge: Vitamin B3 (niacin)
menthol,Counterirritant / topical analgesic,0.9,llm,pharmacology knowledge: Counterirritant / topical analgesic
isoxsuprine,Tocolytic,0.9,llm,pharmacology knowledge: Tocolytic
nepafenac,NSAID (ophthalmic),0.9,llm,pharmacology knowledge: NSAID (ophthalmic)
ammonium chloride,Expectorant,0.9,llm,pharmacology knowledge: Expectorant
olmesartan medoxomil,Angiotensin receptor blocker (ARB),0.9,llm,pharmacology knowledge: Angiotensin receptor blocker (ARB)
human chorionic gonadotropin,Gonadotropin,0.9,llm,pharmacology knowledge: Gonadotropin
levo-carnitine,Amino acid / nutritional,0.9,llm,pharmacology knowledge: Amino acid / nutritional
recombinant human erythropoietin alfa,Erythropoiesis-stimulating agent,0.9,llm,pharmacology knowledge: Erythropoiesis-stimulating agent
melitracen,Tricyclic antidepressant,0.9,llm,pharmacology knowledge: Tricyclic antidepressant
methyl sulfonyl methane,SYSADOA (osteoarthritis),0.9,llm,pharmacology knowledge: SYSADOA (osteoarthritis)
medroxyprogesterone acetate,Progestogen,0.9,llm,pharmacology knowledge: Progestogen
paclitaxel,Cytotoxic chemotherapy,0.9,llm,pharmacology knowledge: Cytotoxic chemotherapy
tolnaftate,Topical antifungal,0.9,llm,pharmacology knowledge: Topical antifungal
hydroxypropylmethylcellulose,Ocular lubricant,0.9,llm,pharmacology knowledge: Ocular lubricant
loteprednol etabonate,Corticosteroid,0.9,llm,pharmacology knowledge: Corticosteroid
colistin sulphate,Polymyxin,0.9,llm,pharmacology knowledge: Polymyxin
colistimethate sodium,Polymyxin,0.9,llm,pharmacology knowledge: Polymyxin
