drug_class,risk_compound,severity,mechanism,dietary_guidance,evidence_strength,example_drugs,drug_class_present_in_dataset,review_status
ACE inhibitor,potassium,HIGH,"ACE inhibitors reduce aldosterone, cutting renal potassium excretion; added dietary potassium or salt substitutes can cause hyperkalaemia.","Avoid potassium-based salt substitutes; keep high-potassium foods consistent, not loaded.",well-established,"ramipril, enalapril, lisinopril, perindopril",yes,NEEDS CLINICAL REVIEW
ACE inhibitor,sodium,MODERATE,High sodium intake blunts the blood-pressure-lowering effect of ACE inhibitors.,Moderate salt intake supports blood-pressure control.,well-established,"ramipril, enalapril",yes,NEEDS CLINICAL REVIEW
ACE inhibitor,licorice_glycyrrhizin,MODERATE,"Glycyrrhizin causes sodium retention and potassium loss (pseudo-aldosteronism), opposing blood-pressure control.",Avoid regular licorice / mulethi-containing products.,established,"ramipril, enalapril",yes,NEEDS CLINICAL REVIEW
Angiotensin receptor blocker (ARB),potassium,HIGH,ARBs blunt aldosterone-driven potassium excretion; extra dietary potassium risks hyperkalaemia.,Avoid potassium salt substitutes; keep high-potassium foods steady.,well-established,"telmisartan, losartan, olmesartan",yes,NEEDS CLINICAL REVIEW
Angiotensin receptor blocker (ARB),sodium,MODERATE,High sodium reduces ARB antihypertensive efficacy.,Keep salt intake moderate.,well-established,"telmisartan, losartan",yes,NEEDS CLINICAL REVIEW
Angiotensin receptor blocker (ARB),licorice_glycyrrhizin,MODERATE,Pseudo-aldosteronism from glycyrrhizin opposes blood-pressure control.,Avoid licorice / mulethi.,established,telmisartan,yes,NEEDS CLINICAL REVIEW
Potassium-sparing diuretic / aldosterone antagonist,potassium,HIGH,These agents directly retain potassium; added dietary potassium risks dangerous hyperkalaemia.,Avoid salt substitutes and potassium supplements; do not load high-potassium foods.,well-established,"spironolactone, eplerenone, amiloride",no,NEEDS CLINICAL REVIEW
Immunosuppressant (calcineurin / mTOR),potassium,MODERATE,Ciclosporin and tacrolimus reduce potassium excretion and can cause hyperkalaemia.,Avoid potassium salt substitutes; keep potassium intake steady.,established,"tacrolimus, ciclosporin",yes,NEEDS CLINICAL REVIEW
Potassium binder,potassium,MODERATE,High dietary potassium works against the purpose of potassium-binding therapy.,Follow a potassium-restricted diet as directed.,established,"calcium polystyrene sulphonate, patiromer",yes,NEEDS CLINICAL REVIEW
Thiazide / thiazide-like diuretic,sodium,MODERATE,High sodium intake counteracts thiazide-induced natriuresis and blood-pressure lowering.,Keep salt intake moderate.,well-established,"hydrochlorothiazide, chlorthalidone, indapamide",yes,NEEDS CLINICAL REVIEW
Thiazide / thiazide-like diuretic,licorice_glycyrrhizin,HIGH,Glycyrrhizin-induced potassium loss is additive with thiazide hypokalaemia; risk of arrhythmia.,Avoid licorice / mulethi entirely.,established,"hydrochlorothiazide, indapamide",yes,NEEDS CLINICAL REVIEW
