ingredient_clean,risk_compounds,confidence,method,rationale
edible vegetable oil,saturated_fat,0.4,llm,unspecified 'vegetable oil' in Indian packaged food is frequently palm - low-confidence saturated_fat
acidity regulators,sodium,0.35,llm,often sodium-based salts (citrate/bicarbonate) - low-confidence sodium
vanilla cake,none,,llm,reviewed (flavour name fragments (not the food)) - no food-drug risk compound
natural,none,,llm,reviewed (flavour name fragments (not the food)) - no food-drug risk compound
nature identical,none,,llm,reviewed (flavour name fragments (not the food)) - no food-drug risk compound
artificial,none,,llm,reviewed (flavour name fragments (not the food)) - no food-drug risk compound
starch,rapid_carb,0.7,llm,refined starch - rapidly digested
flavour enhancers,none,,llm,"reviewed - unmatched generic/compound token, no single risk compound"
sunflower oil,none,,llm,liquid unsaturated seed/olive oil - not a saturated_fat driver
rice bran oil,none,,llm,liquid unsaturated seed/olive oil - not a saturated_fat driver
tomato,potassium,0.3,llm,fresh tomato - modest potassium
palm,none,,llm,"reviewed - unmatched generic/compound token, no single risk compound"
colours,none,,llm,reviewed (colours (permitted)) - no food-drug risk compound
onion powder,none,,llm,"reviewed - unmatched generic/compound token, no single risk compound"
garlic powder,none,,llm,"reviewed - unmatched generic/compound token, no single risk compound"
chocolate,added_sugar;saturated_fat,0.6,llm,chocolate/compound coating - sugar plus cocoa-butter/tropical fat; trace caffeine
urad dal,none,,llm,"pulse / legume flour - low glycaemic index, not a standard allergen"
baking powder,sodium,0.6,llm,baking powder contains sodium bicarbonate
gram flour,none,,llm,"pulse / legume flour - low glycaemic index, not a standard allergen"
added flavours,none,,llm,reviewed (flavour name fragments (not the food)) - no food-drug risk compound
rice,rapid_carb,0.6,llm,milled rice / rice product - medium-high glycaemic index
red chilli powder,none,,llm,"reviewed - unmatched generic/compound token, no single risk compound"
bengal gram flour,none,,llm,"pulse / legume flour - low glycaemic index, not a standard allergen"
vitamins,none,,llm,reviewed (vitamins/minerals (fortification)) - no food-drug risk compound
coconut,none,,llm,coconut - excluded from nut_allergen by design (low cross-reactivity); revisit per user allergy profile
carbonated water,none,,llm,carbonated water - no material risk compound
cocoa mass,caffeine,0.3,llm,cocoa solids carry small amounts of caffeine/theobromine
edible vegetable fat,saturated_fat,0.8,llm,solid/tropical/interesterified fat - high in saturated fatty acids
chana dal,none,,llm,"pulse / legume flour - low glycaemic index, not a standard allergen"
