alias,risk_compound,notes
peanut,nut_allergen,
peanuts,nut_allergen,
groundnut,nut_allergen,
groundnuts,nut_allergen,
tree nut,nut_allergen,
tree nuts,nut_allergen,
nut,nut_allergen,
nuts,nut_allergen,
cashew,nut_allergen,
almond,nut_allergen,
walnut,nut_allergen,
pistachio,nut_allergen,
hazelnut,nut_allergen,
pecan,nut_allergen,
macadamia,nut_allergen,
brazil nut,nut_allergen,
milk,milk_allergen,
dairy,milk_allergen,
lactose,milk_allergen,"lactose intolerance treated as milk allergen for a conservative hard-stop"
casein,milk_allergen,
whey,milk_allergen,
egg,egg_allergen,
eggs,egg_allergen,
soy,soy_allergen,
soya,soy_allergen,
soybean,soy_allergen,
wheat,gluten_allergen,
gluten,gluten_allergen,
barley,gluten_allergen,
rye,gluten_allergen,
maida,gluten_allergen,
atta,gluten_allergen,
sooji,gluten_allergen,
semolina,gluten_allergen,
sesame,sesame_allergen,
til,sesame_allergen,
gingelly,sesame_allergen,
tahini,sesame_allergen,
fish,fish_allergen,
anchovy,fish_allergen,
sardine,fish_allergen,
shellfish,crustacean_shellfish_allergen,
crustacean,crustacean_shellfish_allergen,
prawn,crustacean_shellfish_allergen,
prawns,crustacean_shellfish_allergen,
shrimp,crustacean_shellfish_allergen,
crab,crustacean_shellfish_allergen,
lobster,crustacean_shellfish_allergen,
mustard,mustard_allergen,
rai,mustard_allergen,
sulphite,sulphite_allergen,
sulfite,sulphite_allergen,
